Station,Depth,TP,Date,lat,lon,X,Y,Source
Alpha,5,1.89,2015-03-24,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,1.27,2015-03-24,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,1.53,2015-03-24,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,8.09,2015-04-01,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,8.05,2015-04-01,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,5.95,2015-04-01,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,9.45,2015-04-01,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,6.8,2015-04-06,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,1.65,2015-04-06,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.09,2015-04-06,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,8.17,2015-04-14,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.14,2015-04-14,43.20617,-86.44967,544706.27,4783857.0,Pothoven
GH15,5,4.97,2015-04-14,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,8.19,2015-04-14,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,7.67,2015-04-14,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,4.92,2015-04-14,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Omega,5,1.66,2015-04-14,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,6.23,2015-05-11,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.85,2015-05-11,43.20617,-86.44967,544706.27,4783857.0,Pothoven
GH15,5,4.91,2015-05-11,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,5.35,2015-05-11,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,9.54,2015-05-11,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,11.78,2015-05-11,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Omega,5,2.85,2015-05-11,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,8.34,2015-06-01,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.34,2015-06-01,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.08,2015-06-01,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Grand10S_20m,2,5.81,2015-06-02,42.96297655,-86.26339021,560076.01,4756966.6,CSMI
Grand10S_10m,2,4.45,2015-06-02,42.96815433,-86.23389286,562476.50,4757563.1,CSMI
Grand10S_5m,2,11.91,2015-06-02,42.96868924,-86.23084276,562724.70,4757624.8,CSMI
Grand2S_20m,2,16.82,2015-06-02,43.03485842,-86.2766948,558922.19,4764939.6,CSMI
Grand2S_10m,2,6.9,2015-06-02,43.03930031,-86.25119858,560994.78,4765451.1,CSMI
Grand2S_5m,2,8.16,2015-06-02,43.0405629,-86.24394471,561584.39,4765596.6,CSMI
GrandMth_20m,2,5.21,2015-06-02,43.05174376,-86.28520028,558213.34,4766808.8,CSMI
GrandMth_10m,2,42.12,2015-06-02,43.05614293,-86.25989014,560270.30,4767315.2,CSMI
Grand2N_20m,2,8.59,2015-06-02,43.06894509,-86.29136576,557695.09,4768714.7,CSMI
Grand2N_10m,2,6.28,2015-06-02,43.07393961,-86.26292249,560006.00,4769289.3,CSMI
Grand2N_10m,2,14.67,2015-06-02,43.07393961,-86.26292249,560006.00,4769289.3,CSMI
Grand2N_5m,2,4.95,2015-06-02,43.07503839,-86.25665898,560514.84,4769415.8,CSMI
Grand5N_20m,2,7.03,2015-06-02,43.094526,-86.30433062,556615.96,4771546.7,CSMI
Grand5N_20m,2,7.53,2015-06-02,43.094526,-86.30433062,556615.96,4771546.7,CSMI
Grand5N_10m,2,13.4,2015-06-02,43.09979607,-86.27492078,559004.38,4772152.2,CSMI
Grand5N_5m,2,18.39,2015-06-02,43.10104846,-86.26770355,559590.48,4772296.4,CSMI
GH15,5,3.27,2015-06-02,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,7.26,2015-06-02,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,3.4,2015-06-02,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,6.59,2015-06-02,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,3.15,2015-06-15,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,5.17,2015-06-15,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.97,2015-06-15,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,4.68,2015-06-29,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Alpha,5,4.75,2015-07-01,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.29,2015-07-01,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.19,2015-07-01,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Musk10S_20m,2,9.32,2015-07-17,43.13888878,-86.32584947,554825.06,4776458.9,CSMI
Musk10S_20m,2,8.6,2015-07-17,43.13888878,-86.32584947,554825.06,4776458.9,CSMI
Musk10S_10m,2,13.83,2015-07-17,43.14429627,-86.29842753,557050.11,4777077.7,CSMI
Musk10S_5m,2,8.41,2015-07-17,43.14528605,-86.29340407,557457.68,4777191.1,CSMI
Musk2S_20m,2,21.23,2015-07-17,43.20209085,-86.36630342,551482.03,4783451.9,CSMI
Musk2S_10m,2,16.96,2015-07-17,43.20909836,-86.33969816,553637.33,4784246.9,CSMI
Musk2S_10m,2,6.8,2015-07-17,43.20909836,-86.33969816,553637.33,4784246.9,CSMI
Musk2S_5m,2,13.13,2015-07-17,43.21115409,-86.33188756,554269.98,4784480.2,CSMI
MuskMth_20m,2,7.81,2015-07-17,43.21836249,-86.37574169,550701.78,4785253.2,CSMI
MuskMth_10m,2,16.92,2015-07-17,43.22482502,-86.35118557,552690.64,4785986.0,CSMI
Musk2N_20m,2,9.46,2015-07-17,43.23418967,-86.38826799,549671.54,4787003.3,CSMI
Musk2N_10m,2,7.89,2015-07-17,43.2416606,-86.35987983,551970.27,4787850.3,CSMI
Musk2N_5m,2,9.75,2015-07-17,43.24336776,-86.3533882,552495.85,4788043.9,CSMI
Musk10N_20m,2,3.45,2015-07-17,43.29926962,-86.42963664,546263.16,4794207.0,CSMI
Musk10N_10m,2,9.89,2015-07-17,43.3061769,-86.40394764,548341.37,4794988.6,CSMI
Musk10N_5m,2,15.32,2015-07-17,43.30828704,-86.39609431,548976.61,4795227.5,CSMI
Grand10S_20m,2,3.74,2015-07-18,42.96297655,-86.26339021,560076.01,4756966.6,CSMI
Grand10S_10m,2,3.21,2015-07-18,42.96815433,-86.23389286,562476.50,4757563.1,CSMI
Grand10S_5m,2,4.71,2015-07-18,42.96868924,-86.23084276,562724.70,4757624.8,CSMI
Grand2S_20m,2,8.21,2015-07-18,43.03485842,-86.2766948,558922.19,4764939.6,CSMI
Grand2S_10m,2,6.81,2015-07-18,43.03930031,-86.25119858,560994.78,4765451.1,CSMI
Grand2S_5m,2,8.48,2015-07-18,43.0405629,-86.24394471,561584.39,4765596.6,CSMI
GrandMth_20m,2,11.79,2015-07-18,43.05174376,-86.28520028,558213.34,4766808.8,CSMI
GrandMth_10m,2,28.52,2015-07-18,43.05614293,-86.25989014,560270.30,4767315.2,CSMI
GrandMth_5m,2,39.21,2015-07-18,43.05707665,-86.25451344,560707.23,4767422.7,CSMI
Grand2N_20m,2,17.71,2015-07-18,43.06894509,-86.29136576,557695.09,4768714.7,CSMI
Grand2N_10m,2,19.55,2015-07-18,43.07393961,-86.26292249,560006.00,4769289.3,CSMI
Grand2N_5m,2,20.3,2015-07-18,43.07503839,-86.25665898,560514.84,4769415.8,CSMI
Grand5N_20m,2,14.93,2015-07-18,43.094526,-86.30433062,556615.96,4771546.7,CSMI
Grand5N_10m,2,16.86,2015-07-18,43.09979607,-86.27492078,559004.38,4772152.2,CSMI
Grand5N_5m,2,15.95,2015-07-18,43.10104846,-86.26770355,559590.48,4772296.4,CSMI
Alpha,5,8.58,2015-07-21,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.44,2015-07-21,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.09,2015-07-21,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,3.47,2015-07-22,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,5.87,2015-07-22,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,7.78,2015-07-22,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,5.34,2015-07-22,43.05367,-86.26283,560033.30,4767038.4,Pothoven
GH15,5,17.13,2015-08-03,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,11.63,2015-08-03,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,13.33,2015-08-03,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,8.76,2015-08-03,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,4.77,2015-08-05,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.17,2015-08-05,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.7,2015-08-05,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,2.94,2015-08-18,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.98,2015-08-18,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.66,2015-08-18,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,3.11,2015-09-01,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.42,2015-09-01,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.64,2015-09-01,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,3.31,2015-09-02,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,3.27,2015-09-02,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,3.51,2015-09-02,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,3.82,2015-09-02,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,2.69,2015-09-21,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.44,2015-09-21,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.59,2015-09-21,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,2.89,2015-10-05,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.96,2015-10-05,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.79,2015-10-05,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,12.77,2015-10-06,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,3.75,2015-10-06,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,2.39,2015-10-06,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,6.29,2015-10-06,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,3.17,2015-10-22,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.93,2015-10-22,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.15,2015-10-22,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,4.95,2015-11-03,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.81,2015-11-03,43.20617,-86.44967,544706.27,4783857.0,Pothoven
GH15,5,4.63,2015-11-03,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,6.65,2015-11-03,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,5.6,2015-11-03,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,5.64,2015-11-03,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Omega,5,3.94,2015-11-03,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,3.69,2015-12-07,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.17,2015-12-07,43.20617,-86.44967,544706.27,4783857.0,Pothoven
GH15,5,3.25,2015-12-07,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,3.86,2015-12-07,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,4.58,2015-12-07,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,3.64,2015-12-07,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Omega,5,4.07,2015-12-07,43.19983,-86.56983,534948.63,4783095.8,Pothoven
